TumorSen,TumorSpec,WallSen,WallSpec
0.6029173135757446,0.9999417066574097,0.9131355881690979,0.9901071786880493
0.7230308055877686,0.9996381998062134,0.8395133018493652,0.9972851276397705
nan,1.0,0.8372330665588379,0.9976956248283386
0.9229904413223267,0.9980992078781128,0.8838509321212769,0.9977698922157288
nan,1.0,nan,1.0
nan,1.0,0.9475289583206177,0.9982732534408569
0.8716356158256531,0.9984194040298462,0.6944971680641174,0.9995901584625244
0.9806970357894897,0.9976471662521362,0.6397367119789124,0.9997312426567078
nan,1.0,0.9794238805770874,0.9978027939796448
0.9188537001609802,0.9991633296012878,0.9427679777145386,0.9931149482727051
0.7339322566986084,0.9989045262336731,0.7733916640281677,0.989579975605011
nan,1.0,0.9780219793319702,0.9990748167037964
nan,1.0,0.9198113083839417,0.9982172846794128
0.9695348739624023,0.9992287158966064,0.9806435108184814,0.998818576335907
0.9635919332504272,0.9897463917732239,0.7790652513504028,0.9924063086509705
0.0,1.0,nan,0.9794158935546875
nan,1.0,0.8344322443008423,0.9999845623970032
0.9807552695274353,0.9962974786758423,0.6626505851745605,0.9925451874732971
nan,1.0,0.9340904951095581,0.9995201826095581
0.9685057997703552,0.9974613785743713,0.8063157796859741,0.9992241859436035
nan,1.0,0.8111288547515869,0.9951542019844055
0.7702277898788452,0.9992460608482361,0.8685286045074463,0.9946736097335815
0.0,1.0,0.9291155934333801,0.9923126101493835
nan,0.9958993792533875,0.7424836754798889,0.9998293519020081
0.9397546648979187,0.9987775087356567,0.8887014985084534,0.9981547594070435
nan,0.9880485534667969,0.6700486540794373,0.9950706362724304
0.8448694944381714,0.9988483786582947,0.977172315120697,0.9962444305419922
nan,1.0,0.47370806336402893,0.9948654770851135
0.9660614132881165,0.9970604181289673,0.7489564418792725,0.9984757900238037
0.9478840231895447,0.9990857243537903,0.84555983543396,0.9961588978767395
0.8847118020057678,0.9932340383529663,0.39626169204711914,0.9948608875274658
nan,1.0,0.7128927707672119,0.9999687075614929
nan,1.0,0.04011065140366554,0.9999344348907471
0.9616467952728271,0.9963605999946594,0.8228511810302734,0.9988433718681335
nan,1.0,0.8317537903785706,0.9982473254203796
nan,1.0,0.9427893757820129,0.9982104301452637
0.0,1.0,0.24940964579582214,0.9249957203865051
nan,0.9995536804199219,0.825922429561615,0.9871485829353333
nan,1.0,0.9540598392486572,0.9985668659210205
0.8948377370834351,0.9900879263877869,0.0,1.0
nan,1.0,nan,0.9839859008789062
0.9520267844200134,0.9974009990692139,0.9498922228813171,0.9942324161529541
